"Ryansville, KS",ERROR,ERROR
"County, NC",ERROR,ERROR
"West Virginia City, SD",ERROR,ERROR
"Brush Creek, IA",ERROR,ERROR
"Berry's Station, KY",ERROR,ERROR
"County, IL",ERROR,ERROR
"Looney, OK",ERROR,ERROR
"Wilsonton, KS",ERROR,ERROR
"Admiral, MD",ERROR,ERROR
"Gould, KS",ERROR,ERROR
"Bull City, KS",ERROR,ERROR
"County, CT",ERROR,ERROR
"Loyal, KS",ERROR,ERROR
"Homerville, NE",ERROR,ERROR
"Dakota, OH",ERROR,ERROR
"County, RI",ERROR,ERROR
"Lakemp, OK",ERROR,ERROR
"Palmetto City, KS",ERROR,ERROR
"Mexico, NM",ERROR,ERROR
"County, KY",ERROR,ERROR
"Mitchellville, KS",ERROR,ERROR
"Benton, OK",ERROR,ERROR
"Middletown-Point, NJ",ERROR,ERROR
"M'Grawville, NY",ERROR,ERROR
"Surprise, KS",ERROR,ERROR
"County, AK",ERROR,ERROR
"Chant, OK",ERROR,ERROR
"West Haven, KS",ERROR,ERROR
"County, MO",ERROR,ERROR
"Cundiff, KS",ERROR,ERROR
"County, AL",ERROR,ERROR
"County, TX",ERROR,ERROR
"County, MI",ERROR,ERROR
"Leger, OK",ERROR,ERROR
"Castle, MT",ERROR,ERROR
"Centenary, IA",ERROR,ERROR
"Prairieville, WI",ERROR,ERROR
"Olcott, KS",ERROR,ERROR
"Guertie, OK",ERROR,ERROR
"County, SC",ERROR,ERROR
"County, MN",ERROR,ERROR
"Big Elk, MT",ERROR,ERROR
"County, ID",ERROR,ERROR
"New, York",ERROR,ERROR
"County, MD",ERROR,ERROR
"Texmo, OK",ERROR,ERROR
"Fort Kearny, NE",ERROR,ERROR
"Sheffield, MO",ERROR,ERROR
"County, WI",ERROR,ERROR
"Union Village, NY",ERROR,ERROR
"Antelopeville, NE",ERROR,ERROR
"Bower, NC",ERROR,ERROR
"Hoyle, OK",ERROR,ERROR
"Butler, NV",ERROR,ERROR
"County, KS",ERROR,ERROR
"Altyn, MT",ERROR,ERROR
"Jacksonville, KS",ERROR,ERROR
"County, FL",ERROR,ERROR
"Casablanca, CB, MA",ERROR,ERROR
"Colokan, KS",ERROR,ERROR
"Guy, KS",ERROR,ERROR
"Otter Creek, OK",ERROR,ERROR
"Havana, NY",ERROR,ERROR
"Haskew, OK",ERROR,ERROR
"Northfield, KS",ERROR,ERROR
"Hillerton, CO",ERROR,ERROR
"Fort Benjamin Harrison, IN",ERROR,ERROR
"Owl, OK",ERROR,ERROR
"Lewis, OK",ERROR,ERROR
"Siboney, OK",ERROR,ERROR
"Scammonville, KS",ERROR,ERROR
"Wisconsin, WI",ERROR,ERROR
"Enfield, KS",ERROR,ERROR
"County, WV",ERROR,ERROR
"County, CA",ERROR,ERROR
"Cosmos, OK",ERROR,ERROR
"County, IN",ERROR,ERROR
"Centralia, WI",ERROR,ERROR
"Meansville, PA",ERROR,ERROR
"Cloverton, NE",ERROR,ERROR
"Jackson, MD",ERROR,ERROR
"Zionville, KS",ERROR,ERROR
"Rosemont, KS",ERROR,ERROR
"Shockeyville, KS",ERROR,ERROR
"Tregola, KS",ERROR,ERROR
"Evansville, KS",ERROR,ERROR
"Grigsby, KS",ERROR,ERROR
"Bonanza City, ID",ERROR,ERROR
"Rivers, AZ",ERROR,ERROR
"Claywood, WI",ERROR,ERROR
"County, NH",ERROR,ERROR
"Fort Adams, AK",ERROR,ERROR
"Halifax, MD",ERROR,ERROR
"County, MS",ERROR,ERROR
"Greeley Center, KS",ERROR,ERROR
"Omega, NE",ERROR,ERROR
"Friendville, NE",ERROR,ERROR
"Lovan, AL",ERROR,ERROR
"Jurgensen, OK",ERROR,ERROR
"Fordham, KS",ERROR,ERROR
"County, AZ",ERROR,ERROR
"Frunze, KYR, KG",ERROR,ERROR
"Fouts, OK",ERROR,ERROR
"Lardo, ID",ERROR,ERROR
"Springfield, KS",ERROR,ERROR
"Harrington, NC",ERROR,ERROR
"Navajoe, TX",ERROR,ERROR
"Buckner, KS",ERROR,ERROR
"Omio, KS",ERROR,ERROR
"Kingston, KING, JM",ERROR,ERROR
"Lamborn, KS",ERROR,ERROR
"New Chicago, KS",ERROR,ERROR
"Cain City, KS",ERROR,ERROR
"Greenfield, NV",ERROR,ERROR
"Greater Las Vegas, NM",ERROR,ERROR
"Ivanhoe, OK",ERROR,ERROR
"Dermot, KS",ERROR,ERROR
"New Garden, IN",ERROR,ERROR
"Spring Lake, KS",ERROR,ERROR
"Leadboro, MT",ERROR,ERROR
"County, DE",ERROR,ERROR
"Quaker Valley, KS",ERROR,ERROR
"Topaz, UT",ERROR,ERROR
"County, VA",ERROR,ERROR
"Cleburne, KS",ERROR,ERROR
"Devils, ND",ERROR,ERROR
"Campbell, OK",ERROR,ERROR
"Denson, AR",ERROR,ERROR
"Bringier, LA",ERROR,ERROR
"Schoharie, KS",ERROR,ERROR
"Quindaro, KS",ERROR,ERROR
"Cairo, C, EG",ERROR,ERROR
"Happy Valley, MO",ERROR,ERROR
"Ladora, NE",ERROR,ERROR
